analysis_type,roi_index,roi_label,comparison,coefficient,p_value,p_value_fdr,cohens_d,mean_difference,change_difference,active_change_mean,sham_change_mean,p_value_active_vs_zero,p_value_sham_vs_zero
standard,12,Superior parietal lobule anterior LH,recovery,drift_0,0.1745460318017179,1.0,-0.4916880103270197,-0.00621951988433609,,,,,
standard,12,Superior parietal lobule anterior LH,recovery,drift_1,0.03034198606832086,1.0,-0.8036838177810449,-0.009777749021282884,,,,,
standard,12,Superior parietal lobule anterior LH,recovery,diffusion,0.7129991476159939,1.0,0.13128606368812457,0.005721804735665387,,,,,
standard,13,Precentral gyrus middle,baseline,drift_0,0.8213304329943493,0.996495691215893,-0.08054715523346925,-0.0015135493684747259,,,,,
standard,13,Precentral gyrus middle,baseline,drift_1,0.8065084171175677,0.9855186385780302,0.08736564624629886,0.001141882146728924,,,,,
standard,13,Precentral gyrus middle,baseline,diffusion,0.5512378887347571,0.9649018770331474,0.21308639588672007,0.013207092419995653,,,,,
standard,13,Precentral gyrus middle,stimulation,drift_0,0.24816381083822361,0.9517593344507153,-0.41638970192200836,-0.005775026786004091,,,,,
standard,13,Precentral gyrus middle,stimulation,drift_1,0.8754198612096973,0.9840065179788474,0.05590473658338795,0.0006420563823125436,,,,,
standard,13,Precentral gyrus middle,stimulation,diffusion,0.8528232046995159,1.0,0.06615832481449492,0.0020852644390465247,,,,,
standard,13,Precentral gyrus middle,recovery,drift_0,0.6557272053130228,1.0,-0.15920725104902977,-0.0025939485478238614,,,,,
standard,13,Precentral gyrus middle,recovery,drift_1,0.23771256565667426,1.0,0.4259486848863312,0.005249557210912687,,,,,
standard,13,Precentral gyrus middle,recovery,diffusion,0.3888089954833549,1.0,0.3091721549237202,0.017581429651023134,,,,,
standard,14,Postcentral sulcus superior RH,baseline,drift_0,0.21184685880369988,1.0,-0.4510325274851783,-0.008262734317543062,,,,,
standard,14,Postcentral sulcus superior RH,baseline,drift_1,0.7819939533855736,0.9789264159741167,0.09871824650899196,0.0012273665467231,,,,,
standard,14,Postcentral sulcus superior RH,baseline,diffusion,0.10005141044439335,1.0,0.5999772156570167,0.03459389632017568,,,,,
standard,14,Postcentral sulcus superior RH,stimulation,drift_0,0.41850521536451013,0.9652012174172486,-0.290026295366843,-0.004470550133940154,,,,,
standard,14,Postcentral sulcus superior RH,stimulation,drift_1,0.91422464425959,0.9917013090273519,0.03840410173525983,0.0003915093824203875,,,,,
standard,14,Postcentral sulcus superior RH,stimulation,diffusion,0.8166122942115022,1.0,0.0827141397417193,0.002984623544249221,,,,,
standard,14,Postcentral sulcus superior RH,recovery,drift_0,0.8776321949358771,1.0,-0.05490360270742145,-0.0006862694560777274,,,,,
standard,14,Postcentral sulcus superior RH,recovery,drift_1,0.27616648878431344,1.0,0.39215329748563565,0.004528915930579738,,,,,
standard,14,Postcentral sulcus superior RH,recovery,diffusion,0.5132860942136417,1.0,-0.23390614543566732,-0.009048767707549782,,,,,
