roi_idx,roi_label,comparison,component,active_mean,active_std,sham_mean,sham_std,t_statistic,p_value,cohens_d,n_subjects
255,Fornix superior,recovery_minus_baseline,potential_energy_change,0.031231393871734313,0.10831852406749269,-0.03329990496829781,0.07753274979809607,1.5169338141300825,0.15007367762117646,0.6851045089019494,16
255,Fornix superior,recovery_minus_baseline,entropy_change,-0.07328502862189232,0.23355168695676723,-0.08190027472638536,0.2157577236709538,0.08729611347023382,0.9315908649734224,0.038318796803326255,16
256,Heschl’s gyrus middle RH,stimulation_minus_baseline,free_energy_change,-0.038939076082021074,0.20629670046155696,0.07219632722226291,0.10873507827262449,-2.0368367681329627,0.0597159771430518,-0.6739710684596477,16
256,Heschl’s gyrus middle RH,stimulation_minus_baseline,potential_energy_change,-0.0012028120068145343,0.12127459113173385,-0.00029298267526872007,0.07793300017132189,-0.02832987153046092,0.9777725420385419,-0.008925671215515895,16
256,Heschl’s gyrus middle RH,stimulation_minus_baseline,entropy_change,-0.03773626407520664,0.14195448704593047,0.0724893098975316,0.09391748237566483,-2.2689869171737547,0.038457717406353106,-0.9158225910832225,16
256,Heschl’s gyrus middle RH,recovery_minus_baseline,free_energy_change,-0.06674479222458429,0.21482645558358687,0.04490465604401059,0.1701100365662428,-1.651615532953501,0.1193873672912006,-0.5762179734193587,16
256,Heschl’s gyrus middle RH,recovery_minus_baseline,potential_energy_change,-0.014225793336751945,0.12474040712172396,-0.006336864010101943,0.09117035286542857,-0.17141401395764613,0.8661892650895285,-0.07220824989809302,16
256,Heschl’s gyrus middle RH,recovery_minus_baseline,entropy_change,-0.052518998887832374,0.179166402215957,0.05124152005411248,0.13755514116516385,-1.8358377784304163,0.0862834015349684,-0.6496333669320359,16
257,Fluid between cerebellum and peduncle superior,stimulation_minus_baseline,free_energy_change,-0.01343754462522792,0.1603888574578405,-0.19738595287092076,0.15789082566833598,4.311713851045798,0.0006170943925929638,1.1558560139559457,16
257,Fluid between cerebellum and peduncle superior,stimulation_minus_baseline,potential_energy_change,0.020853367673090765,0.10139515913972338,-0.03286068844522841,0.07361007293306365,1.9728299132671747,0.06723691411076049,0.606263087157977,16
257,Fluid between cerebellum and peduncle superior,stimulation_minus_baseline,entropy_change,-0.03429091229831857,0.18036531064138145,-0.16452526442569235,0.146038633473729,3.16415752768187,0.006417782510485548,0.7936183486069529,16
257,Fluid between cerebellum and peduncle superior,recovery_minus_baseline,free_energy_change,0.03697324579444661,0.18172133417029476,-0.16282633426584744,0.17210827296748615,3.922258024769825,0.001358166018678696,1.1289382087864046,16
257,Fluid between cerebellum and peduncle superior,recovery_minus_baseline,potential_energy_change,0.014918646645297115,0.11618410165679796,-0.058966377762118896,0.059761810794718206,2.322900724499191,0.034653833471985314,0.7997456123095749,16
257,Fluid between cerebellum and peduncle superior,recovery_minus_baseline,entropy_change,0.022054599149149617,0.12769418188748632,-0.10385995650372853,0.15296874666022955,3.0670475950269727,0.00782646909411853,0.8936490826081139,16
